model,n_hours,feasible_hours,infeasible_hours,under_generation_hours,over_generation_hours,under_generation_rate,over_generation_rate,total_under_generation_mwh,total_over_generation_mwh,total_under_generation_mw,total_over_generation_mw,max_under_generation_mw,max_over_generation_mw,total_base_generator_cost,total_oracle_base_generator_cost,total_under_generation_penalty_cost,total_over_generation_penalty_cost,total_penalty_cost,total_operational_cost,oracle_total_operational_cost,total_constraint_regret,mean_constraint_regret,total_dispatch_cost,total_oracle_dispatch_cost,total_cost_gap,mean_cost_gap,mean_abs_zone_error_after_dispatch_mw,rmse_zone_error_after_dispatch_mw,bias_zone_error_after_dispatch_mw
Persistence,8146.0,8146.0,0.0,3902.0,4179.0,0.4790081021360177,0.5130125214829364,1519251.737,1511968.314,1519251.737,1511968.314,3425.018,3913.5740000000005,1641770699.1950002,1640886841.1687503,759625868.5,75598415.69999999,835224284.2,2476994983.3950005,1640886841.1687503,836108142.22625,102640.33172431255,1641770699.1950002,1640886841.1687503,883858.0262499945,108.50209013626252,372.11147201080286,632.4028853985615,-0.8941103609133328
OLS,8146.0,8146.0,0.0,2525.0,5621.0,0.3099680824944758,0.6900319175055242,769260.2978934264,2274266.3098167987,769260.2978934264,2274266.3098167987,2691.906646271451,3715.6950403808314,1706974626.4494853,1640886841.1687503,384630148.94671315,113713315.49083993,498343464.4375531,2205318090.887038,1640886841.1687503,564431249.718288,69289.37511886668,1706974626.4494853,1640886841.1687503,66087785.28073494,8112.912506842001,373.62222044073474,575.0542193648758,184.75399115189938
Ridge,8146.0,8146.0,0.0,2524.0,5622.0,0.30984532285784433,0.6901546771421556,769272.1771386686,2274246.3279701346,769272.1771386686,2274246.3279701346,2691.9605391865225,3715.657708174178,1706973140.8760405,1640886841.1687503,384636088.56933427,113712316.39850673,498348404.967841,2205321545.8438816,1640886841.1687503,564434704.6751314,69289.79924811336,1706973140.8760405,1640886841.1687503,66086299.70729044,8112.730138385765,373.6212257683283,575.053884937443,184.7500798958343
Lasso,8146.0,8146.0,0.0,2571.0,5575.0,0.3156150257795237,0.6843849742204763,789967.5799957069,2234150.32208658,789967.5799957069,2234150.32208658,2740.317408771929,3680.0070318057788,1704035244.3187835,1640886841.1687503,394983789.9978534,111707516.10432898,506691306.1021824,2210726550.420966,1640886841.1687503,569839709.2522159,69953.3156459877,1704035244.3187835,1640886841.1687503,63148403.15003343,7752.075024556031,371.23961479036177,573.1605321362641,177.28734864852353
